#(1) SSI website, (2) Hekker et al. 2011, (3) Stello et al. 2013, (4) Yu et al. 2016, (5) Mathur et al. 2016, (6) Gaulme et al. 2013, (7) Gaulme et al. 2014, (8) Chaplin et al. 2014, (9)Beck et al. 2014, (10)Pinsonneault et al. 2014					
#KIC	Vmax	Vmax_err	Dv	Dv_err	ref
757137	28.99571 	0.16301 	3.40243 	0.00087 	1,9
892010	16.72424 	0.36675 	2.44015 	0.00264 	1,9
892738	7.26792 	0.07297 	1.28295 	0.00133 	1,9
892760	28.71961 	0.48752 	4.06729 	0.00458 	1,9
893210	2.14834 	0.01671 	0.43882 	0.00303 	1
893214	38.31070 	0.18695 	4.31587 	0.00085 	1,9
893233	6.10000 	0.40000 	1.03000 	0.18000 	5
893750	28.72690 	0.47793 	3.73130 	0.00355 	1
1026084	45.52086 	0.15414 	4.44776 	0.00155 	1,9
1026180	32.79943 	0.44445 	3.88442 	0.00283 	1,9
1026309	16.23350 	0.14193 	1.94695 	0.00100 	1,9
1026326	89.16574 	0.40098 	8.83525 	0.00153 	1,3,9
1026452	32.65004 	0.06032 	3.97723 	0.00149 	1,4
1027110	6.20817 	0.06382 	1.15190 	0.00156 	1,5
1027337	70.69122 	0.22978 	6.96422 	0.00090 	1,3,9
1027582	150.12068 	0.56805 	12.66351 	0.00420 	1,4
1027707	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1028267	103.20000 	0.80000 	9.47000 	0.02000 	4
1160655	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1160684	25.44369 	0.13243 	3.56581 	0.00181 	1,5
1160789	24.47184 	0.21776 	3.53959 	0.00212 	1,9
1161447	35.23064 	0.28232 	4.16001 	0.00195 	1,3,9
1161491	36.17830 	0.05298 	4.36433 	0.00154 	1,4
1161618	33.50000 	-99.90000 	4.22000 	-99.90000 	2,9
1162220	10.63952 	0.10186 	1.69246 	0.00113 	1,5
1162746	26.77926 	0.22749 	3.81206 	0.00235 	1,2,9
1163114	13.74321 	0.10965 	1.89243 	0.00090 	1,5
1163359	20.85435 	0.16382 	2.64644 	0.00102 	1,9
1163453	38.98545 	0.23130 	4.42830 	0.00142 	1,9
1163621	48.55181 	0.25441 	4.98619 	0.00119 	1,9
1164301	53.23516 	0.25223 	6.00050 	0.00099 	1,9
1164356	27.80000 	1.80000 	3.33000 	0.09000 	5
1164571	214.00000 	2.00000 	16.17000 	0.02000 	4
1164584	26.82098 	0.14276 	3.37685 	0.00078 	1,5
1292147	87.20000 	4.20000 	8.12000 	0.28000 	5
1292834	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1293521	4.80238 	0.05883 	0.91158 	0.00223 	1,9
1293587	253.80000 	23.80000 	16.67000 	0.17000 	5
1293835	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1294122	74.29369 	0.11239 	7.06773 	0.00125 	1,9
1294308	27.11801 	0.17992 	3.99788 	0.00230 	1,4
1294385	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1294578	45.41603 	0.14627 	5.39842 	0.00098 	1,9
1294924	34.79467 	0.14912 	4.77499 	0.00570 	1,4
1295017	27.94145 	0.24446 	3.82291 	0.00242 	1,9
1295475	37.19543 	0.31293 	4.25995 	0.00217 	1,9
1296068	58.11826 	0.13842 	6.17834 	0.00140 	1,9
1296110	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1296179	38.74373 	0.22377 	4.42828 	0.00141 	1,4
1296507	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1296984	62.12956 	0.29035 	5.46601 	0.00269 	1
1297272	30.81646 	0.19612 	4.18039 	0.00198 	1,9
1297510	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1429497	233.10000 	4.80000 	16.70000 	0.07000 	4
1429505	52.45390 	0.18418 	5.79287 	0.00080 	1,9
1429629	63.00000 	3.10000 	6.28000 	0.19000 	5
1430118	156.51159 	0.72516 	11.07105 	0.00427 	1,9
1430163	1867.00000 	92.00000 	84.60000 	2.00000 	8
1430199	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1430912	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1430985	-99.90000 	-99.90000 	10.46500 	-99.90000 	3,9
1431059	171.30000 	7.60000 	13.62000 	0.47000 	5
1431316	36.44725 	0.28151 	4.83481 	0.00273 	1,9
1431599	2.30000 	0.20000 	0.53000 	0.28000 	5
1432022	4.50000 	0.30000 	0.92000 	0.01000 	5
1432587	4.30000 	-99.90000 	0.91000 	-99.90000 	2,9
1432825	164.90170 	1.53777 	13.70049 	0.00536 	1,4
1433132	37.47943 	0.25173 	4.39472 	0.00133 	1,9
1433477	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1433593	65.28785 	0.07001 	6.25740 	0.00123 	1,2,9
1433730	38.54199 	0.20092 	4.09737 	0.00094 	1,2,9
1433803	143.28741 	0.16722 	12.17493 	0.00136 	1,3,9
1434395	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1435467	1295.00000 	52.00000 	70.80000 	0.80000 	8
1435573	25.85261 	0.07616 	3.58731 	0.00182 	1,2,9
1435632	230.33493 	0.84226 	14.50061 	0.01364 	1
1435717	22.33849 	0.14790 	3.08821 	0.00307 	1
1569823	44.81769 	0.48476 	4.88297 	0.00731 	1,9
1569842	126.84048 	0.10948 	11.78580 	0.00140 	1,3,9
1571780	46.85756 	0.28081 	4.47048 	0.00145 	1,9
1572049	53.53703 	0.18143 	5.18853 	0.00196 	1
1572175	51.82857 	0.24318 	5.38709 	0.00096 	1,9
1572317	186.37423 	1.04566 	14.76987 	0.00504 	1
1572780	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1573925	119.84625 	0.68448 	10.81181 	0.00295 	1,4
1574361	31.93459 	0.48718 	3.92938 	0.00407 	1,9
1575886	95.43041 	0.35868 	8.06738 	0.00142 	1,3,9
1576043	5.40000 	0.40000 	0.91000 	0.03000 	5
1576420	42.73665 	0.31148 	4.86481 	0.00149 	1,9
1576469	85.58820 	0.10587 	7.38845 	0.00133 	1,3,9
1576646	81.20720 	0.19011 	7.68708 	0.00128 	1,3,9
1577143	35.15706 	0.05910 	3.83022 	0.00132 	1,4
1578131	41.04943 	0.39166 	4.71152 	0.00198 	1
1701679	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1701763	27.62681 	0.29440 	3.59150 	0.00188 	1,9
1717384	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1717618	114.29058 	0.35828 	9.69292 	0.00156 	1,9
1717783	30.34355 	0.32568 	4.04548 	0.00250 	1,9
1717994	29.94902 	0.08046 	4.09915 	0.00178 	1,9
1718743	27.79919 	0.30243 	3.87769 	0.00213 	1,9
1719065	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1719297	7.60000 	-99.90000 	1.19000 	-99.90000 	2,9
1719422	129.36745 	0.54898 	11.30465 	0.00212 	1,3,9
1720241	245.84166 	0.48819 	16.50496 	0.00842 	1,9
1720425	28.00000 	-99.90000 	3.60000 	-99.90000 	2,9
1721071	31.60965 	0.37383 	3.95918 	0.00248 	1,9
1721595	155.29282 	0.49292 	13.16734 	0.00469 	1,4
1723047	134.63253 	0.36020 	11.45646 	0.00260 	1,9
1723146	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1723191	9.06345 	0.08708 	1.48657 	0.00360 	1,9
